CIty_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
330,Krasnyy,54.5678,31.4333,63.21,72,99,8.3,RU,Clouds
331,Kudahuvadhoo,2.6708,72.8944,81.73,74,100,17.63,MV,Clouds
332,Plymouth,41.8334,-70.8328,92.86,65,1,1.01,US,Clear
333,Nadym,65.5333,72.5167,67.03,69,100,16.13,RU,Clouds
334,Buraydah,26.326,43.975,92.93,13,83,12.19,SA,Clouds
335,Lubao,14.9167,120.55,80.15,88,99,1.97,PH,Clouds
336,Takaka,-40.85,172.8,46.56,76,0,4.79,NZ,Clear
337,Bilma,18.6853,12.9164,97.02,20,41,9.57,NE,Clouds
338,Nanortalik,60.1432,-45.2371,49.55,96,100,7.74,GL,Rain
339,Grindavik,63.8424,-22.4338,54.55,87,40,13.8,IS,Clouds
340,Vila,42.0304,-8.1588,65.28,57,5,1.74,PT,Clear
341,Veraval,20.9,70.3667,80.38,82,100,16.42,IN,Clouds
342,Buala,-8.145,159.5921,80.1,81,76,6.17,SB,Clouds
343,Nuuk,64.1835,-51.7216,46.98,96,100,30.2,GL,Rain
344,Port Lincoln,-34.7333,135.8667,51.01,61,0,9.22,AU,Clear
345,Kaitangata,-46.2817,169.8464,46.09,75,36,10.4,NZ,Clouds
346,Shambu,9.5667,37.1,50.9,90,49,0.6,ET,Rain
347,Kuybyshevo,47.8123,38.9073,66.58,86,100,15.5,RU,Clouds
348,Warah,27.4481,67.7978,94.23,39,25,10.58,PK,Clouds
349,Nizwa,22.9333,57.5333,89.56,40,58,3.89,OM,Clouds
350,Qeshm,26.9581,56.2719,91.27,79,20,7.36,IR,Clouds
351,Marau,-28.4492,-52.2,60.46,91,79,2.57,BR,Clouds
352,Leiyang,26.4024,112.8591,72.34,97,100,2.26,CN,Clouds
353,Heubach,48.7927,9.9337,74.23,77,0,1.97,DE,Clear
354,Beringovskiy,63.05,179.3167,57.16,68,100,7.14,RU,Clouds
355,Vokhma,58.9303,46.7586,63.23,63,91,2.89,RU,Clouds
356,Odzun,41.0532,44.6134,61.54,86,100,1.72,AM,Clouds
